HLE,HLN,HLZ
-0.169762,-0.021045,0.046521
-0.128599,0.010341,0.047021
-0.080994,0.036644,0.041456
-0.031164,0.055952,0.028162
0.017389,0.066419,-0.024464
0.062686,0.066918,-0.055433
0.103718,0.058299,-0.07696
0.139137,0.043985,-0.079733
0.166324,0.02905,-0.060573
0.181764,0.017755,-0.024448
0.183111,0.011648,0.017587
0.171345,0.010159,0.054097
0.151215,0.012553,0.078706
0.129621,0.019411,0.091629
0.112403,0.032407,0.09772
0.101597,0.052113,0.102536
0.095062,0.075946,0.108687
0.088068,0.098388,0.114302
0.075852,0.113024,0.113812
0.055735,0.115248,0.100755
0.027729,0.10414,0.071065
-0.042553,0.082415,0.025254
-0.078947,0.054963,-0.031475
-0.113005,0.026871,-0.091386
-0.142882,-0.017271,-0.146449
-0.166388,-0.029373,-0.188898
-0.180584,-0.03334,-0.211312
-0.182328,-0.029127,-0.2079
-0.16926,-0.018759,-0.176873
-0.140536,-0.019376,-0.122673
-0.097153,-0.033638,-0.055836
-0.041941,-0.045295,0.01094
0.020293,-0.052762,0.067578
0.082456,-0.056269,0.108904
0.13574,-0.05672,0.133979
0.172028,-0.054564,0.143337
0.186791,-0.049574,0.136746
0.180719,-0.041492,0.113722
0.159209,-0.031069,0.075973
0.129588,-0.020475,0.02985
0.098012,-0.0123,-0.013633
0.067975,-0.013274,-0.042799
0.040444,-0.021512,-0.050634
-0.011145,0.012691,0.01036
-0.013636,0.016376,0.011459
-0.015526,0.018956,0.011966
-0.016513,0.020317,0.011565
-0.01639,0.020544,0.010131
-0.015165,0.019849,-0.010661
-0.013048,0.018496,-0.013513
-0.010328,0.016749,-0.015491
0.010331,0.014834,-0.016845
0.012272,0.012901,-0.018094
0.014471,0.010992,-0.019846
0.016938,-0.014506,-0.022594
0.019474,-0.019755,-0.026529
0.021842,-0.024346,-0.031423
0.023834,-0.028022,-0.036621
0.025262,-0.030624,-0.041131
0.025952,-0.031993,-0.043836
0.025757,-0.031947,-0.043747
0.024615,-0.030392,-0.040246
0.022587,-0.027462,-0.03324
0.019867,-0.02355,-0.023169
0.016757,-0.019209,-0.01088
0.013621,-0.014938,0.016204
0.010778,-0.010955,0.029049
-0.012012,0.01462,0.040405
-0.014765,0.021429,0.049855
-0.017288,0.027875,0.057337
-0.019335,0.033418,0.063088
-0.020743,0.037587,0.067462
-0.021504,0.039972,0.070692
-0.02179,0.040235,0.072718
-0.021911,0.03814,0.073188
-0.022225,0.033609,0.071584
-0.023007,0.026804,0.067412
-0.024319,0.018208,0.060403
-0.025924,-0.016702,0.050681
-0.027324,-0.021905,0.038788
-0.02793,-0.025371,0.025492
-0.027334,-0.027636,0.011551
-0.025528,-0.029437,-0.015628
-0.022904,-0.031402,-0.027306
-0.020089,-0.033679,-0.036171
-0.017706,-0.035768,-0.040983
